Time;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature
367;15920;27142;16035;28071;5883;39845;45457;23810;7.46;46.93
368;15831;27171;15986;28054;5843;39858;45470;23889;7.46;46.94
369;15883;27219;16027;28044;5860;39806;45470;23856;7.46;46.94
370;15813;27222;16059;28046;5805;39860;45565;23843;7.46;46.94
371;15860;27216;15971;27974;5829;39853;45562;23857;7.46;46.93
372;15821;27189;16024;27991;5833;39866;45540;23835;7.46;46.92
373;15884;27291;15999;28034;5834;39939;45524;23891;7.46;46.93
374;15861;27251;15946;28059;5821;39817;45471;23886;7.46;46.93
375;15882;27171;15935;28018;5795;39864;45412;23829;7.46;46.94
376;15882;27215;16052;27993;5841;39869;45460;23836;7.46;46.93
377;15917;27179;15948;27994;5858;39938;45463;23791;7.46;46.93
378;15882;27238;15991;28063;5854;39898;45591;23791;7.46;46.94
379;15923;27205;16053;28123;5824;39836;45565;23801;7.46;46.94
380;15888;27081;15990;28037;5838;39869;45453;23835;7.46;46.94
381;15891;27227;16033;27990;5825;39972;45479;23824;7.46;46.93
382;15813;27261;15972;28033;5837;39977;45533;23885;7.46;46.93
383;15910;27266;15981;28056;5757;39966;45555;23830;7.46;46.93
384;15853;27170;15991;28066;5907;39905;45457;23804;7.5;46.94
385;15956;27251;16052;28086;5836;39900;45559;23880;7.5;46.93
386;15926;27203;16008;28114;5824;39912;45475;23883;7.54;46.93
387;15927;27233;15982;28137;5846;39923;45599;23821;7.54;46.94
388;15879;27249;16060;28042;5770;39813;45495;23846;7.46;46.93
389;15921;27241;16033;28015;5853;39906;45495;23856;7.46;46.94
390;15866;27279;16040;28039;5898;39967;45546;23811;7.54;46.94
391;15943;27226;15983;28077;5784;39921;45509;23921;7.54;46.94
392;15882;27200;15962;28044;5744;39956;45569;23876;7.46;46.93
393;15858;27233;15876;28006;5860;39852;45413;23888;7.46;46.93
394;15883;27227;16046;28033;5826;39907;45441;23883;7.46;46.94
395;15927;27224;15944;28048;5780;39878;45612;23902;7.46;46.94
396;15890;27261;15940;28067;5832;39899;45570;23905;7.5;46.93
397;15924;27256;16096;28107;5847;39902;45554;23825;7.46;46.93
398;15819;27189;15947;27990;5832;39913;45514;23878;7.46;46.94
399;15949;27219;15998;28038;5783;39859;45483;23939;7.46;46.94
400;15893;27215;16033;28110;5838;39839;45508;23862;7.46;46.94
401;15914;27280;15985;28140;5868;39863;45500;23863;7.46;46.94
402;15897;27249;16003;28067;5785;39881;45526;23867;7.46;46.94
403;15887;27214;16007;28042;5833;39939;45571;23874;7.46;46.92
404;15885;27260;16021;28059;5808;39894;45514;23878;7.46;46.93
405;15924;27285;15992;28092;5891;39863;45586;23837;7.54;46.94
